"rid","binaryID"
401,"1"
402,"10"
403,"11"
404,"100"
405,"101"
406,"111"
407,"1110"
408,"1111"
409,"11100"
410,"11101"
411,"11110"
412,"11111"
413,"111001"
414,"111101"
415,"1111011"
416,"111110"
417,"111111"
418,"1111100"
419,"1111101"
420,"1111110"
421,"1111111"
422,"11111100"
423,"11111101"
424,"11111000"
425,"11111001"
426,"11111110"
427,"11111111"
428,"111111100"
429,"111111101"
430,"1111111001"
431,"11111010"
432,"11111011"
433,"111111111"
434,"111110001"
435,"1111100010"
436,"1111100011"
437,"111110010"
438,"111110011"
439,"111111011"
440,"1111100100"
441,"1111100101"
442,"1111110111"
443,"11111001000"
444,"11111001001"
445,"11111000100"
446,"11111000101"
447,"11111101110"
448,"11111101111"
449,"1111111010"
450,"1111111011"
451,"11111001010"
452,"11111001011"
453,"111110001000"
454,"111110001001"
455,"111110010001"
456,"111110010010"
457,"111110010011"
458,"111110001010"
459,"111110001011"
460,"111111011100"
461,"111111011101"
462,"111111011111"
463,"1111100100010"
464,"1111100100011"
465,"11111001000100"
466,"11111001000101"
467,"11111000110"
468,"11111000111"
469,"11111110011"
470,"1111100010100"
471,"1111100010101"
472,"11111000101000"
473,"11111000101001"
474,"111110010101"
475,"111110001010000"
476,"111110001010001"
477,"111110010001000"
478,"111110010001001"
479,"1111100100010000"
480,"1111100100010001"
481,"1111100010100000"
482,"1111100010100001"
483,"1111100010100010"
484,"1111100010100011"
485,"111110001010011"
486,"1111100010111"
487,"111111100110"
488,"111111100111"
489,"11111001000100000"
490,"11111001000100001"
491,"111110010001000000"
492,"111110010001000001"
493,"1111111001101"
494,"11111000101000111"
495,"111110010001011"
496,"11111110011011"
497,"111110010001000011"
498,"1111110111110"
499,"1111110111111"
500,"1111100010100111"
