"rid","binaryID"
151,"1"
152,"10"
153,"11"
154,"100"
155,"101"
156,"1000"
157,"1001"
158,"110"
159,"111"
160,"10000"
161,"10001"
162,"1011"
163,"1101"
164,"1110"
165,"1111"
166,"10010"
167,"10011"
168,"100100"
169,"100101"
170,"10110"
171,"10111"
172,"101100"
173,"101101"
174,"1011000"
175,"1011001"
176,"10110001"
177,"1011010"
178,"1011011"
179,"10110010"
180,"10110011"
181,"1001000"
182,"1001001"
183,"1001010"
184,"1001011"
185,"101100101"
186,"10110101"
187,"101101011"
188,"10110110"
189,"10110111"
190,"101100010"
191,"101100011"
192,"100111"
193,"1011010111"
194,"1001111"
195,"1011000110"
196,"1011000111"
197,"1011001011"
198,"10010011"
199,"10011111"
200,"100100111"
